mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.10434627532958984,0.009576105337361605,0.015132665634155273,0.0026086329546556437,gini,1,2,50,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.5555555555555556,0.4074074074074074,0.46153846153846156,0.475,0.06157072694027916,86,1.0,1.0,1.0,1.0,0.0
0.21785306930541992,0.015542147551256422,0.018452962239583332,0.005928012587779395,gini,1,2,100,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6296296296296297,0.37037037037037035,0.5384615384615384,0.5125,0.10801440562888742,18,1.0,1.0,1.0,1.0,0.0
0.3413081963857015,0.02922888126302321,0.021921714146931965,0.00928159668567056,gini,1,2,150,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.6296296296296297,0.4074074074074074,0.5384615384615384,0.525,0.09176374036395885,6,1.0,1.0,1.0,1.0,0.0
0.4752415021260579,0.06367516769705575,0.030657052993774414,0.01361111617646415,gini,1,2,200,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5555555555555556,0.37037037037037035,0.5,0.475,0.07802539947326746,86,1.0,1.0,1.0,1.0,0.0
0.1468027432759603,0.041426343336271834,0.015367746353149414,0.003519460027132789,gini,1,3,50,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 50}",0.6296296296296297,0.4074074074074074,0.5,0.5125,0.09169822689024482,18,0.9811320754716981,1.0,1.0,0.9937106918238993,0.008894424920585502
0.26846106847127277,0.004901889304138509,0.016170978546142578,0.0016125414115371894,gini,1,3,100,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100}",0.6666666666666666,0.37037037037037035,0.5384615384615384,0.525,0.12207401659266204,6,1.0,1.0,1.0,1.0,0.0
0.409207820892334,0.0819262208044743,0.029455264409383137,0.00663798825034132,gini,1,3,150,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 150}",0.5925925925925926,0.4074074074074074,0.5,0.5,0.07607257743127308,39,1.0,1.0,1.0,1.0,0.0
0.7029933134714762,0.10536658697834121,0.029432296752929688,0.008244625034826366,gini,1,3,200,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",0.6666666666666666,0.4074074074074074,0.5,0.525,0.1079051366641946,6,1.0,1.0,1.0,1.0,0.0
0.09689291318257649,0.012152709012565563,0.0071417490641276045,0.010099958385554617,gini,1,4,50,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}",0.5185185185185185,0.4074074074074074,0.5,0.475,0.048828877309019296,86,1.0,1.0,1.0,1.0,0.0
0.24873661994934082,0.08378413052096606,0.021495739618937176,0.007522546750583756,gini,1,4,100,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.6296296296296297,0.37037037037037035,0.5384615384615384,0.5125,0.10801440562888742,18,1.0,1.0,1.0,1.0,0.0
0.38794199625651044,0.039329614202480635,0.02856612205505371,0.01601302497449008,gini,1,4,150,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 150}",0.6296296296296297,0.4074074074074074,0.5384615384615384,0.525,0.09176374036395885,6,1.0,1.0,1.0,1.0,0.0
0.4336295922597249,0.04297491419995502,0.01583552360534668,0.0022400593799063936,gini,1,4,200,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.6666666666666666,0.4074074074074074,0.46153846153846156,0.5125,0.11221870498846326,18,1.0,1.0,1.0,1.0,0.0
0.11118872960408528,0.01986292501695003,0.005473693211873372,0.005172095495861426,gini,1,5,50,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.6666666666666666,0.48148148148148145,0.5,0.55,0.08361064968495784,1,1.0,1.0,1.0,1.0,0.0
0.30716943740844727,0.06181439501037754,0.018283685048421223,0.011445771129452883,gini,1,5,100,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6296296296296297,0.4074074074074074,0.5,0.5125,0.09169822689024482,18,1.0,1.0,1.0,1.0,0.0
0.3473941485087077,0.06821221931425538,0.0165406068166097,0.0011606132571365761,gini,1,5,150,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.6296296296296297,0.37037037037037035,0.5769230769230769,0.525,0.11243073207833132,6,1.0,1.0,1.0,1.0,0.0
0.48975499471028644,0.10343790689945391,0.016681353251139324,0.006973955043433418,gini,1,5,200,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.5925925925925926,0.4074074074074074,0.46153846153846156,0.4875,0.07817644317699717,65,1.0,1.0,1.0,1.0,0.0
